id,original_name,normalized_name
ff5fdcc7-1193-486a-b0d4-96284af7b17e,Alphabet Inc.,alphabet inc
7bd8a308-965e-4405-9440-8b11776a1c45,Alphabet Inc.,alphabet inc
723064e9-44cd-4452-bcde-79e19141624d,Bank Of America Corp /De/,bank of america corp de
37ca31ac-183e-40e9-8ad5-ed1305670fd5,Bank Of America Corp /De/,bank of america corp de
8bdbe39d-6496-409d-b794-c45c91212c3d,Bank Of America Corp /De/,bank of america corp de
089ee138-1b7f-4b2f-8f28-df451f6c389c,Asml Holding Nv,asml holding nv
39bd2385-f964-4bda-abbf-8f999f8dae15,Asml Holding Nv,asml holding nv
fcf3eafa-fc2f-4121-901f-f5710ece2539,Capital One Financial Corp,capital one financial corp
55ae7a7a-7749-4f91-8e05-b81927874593,Capital One Financial Corp,capital one financial corp
93bf7d3a-47ad-471f-89cc-ff6046b6f683,British American Tobacco P.L.C.,british american tobacco plc
d159fb57-a046-46ef-a31d-4fdf6057cae2,British American Tobacco P.L.C.,british american tobacco plc
da3caa83-d079-4fbd-8b0d-946e7238cf39,Southern Co,southern co
6b904cb9-abc6-412d-a1a3-f4afc32014dc,Southern Co,southern co
f2b56221-85ba-4126-839e-aca2a14289dd,"Midea Group Co., Ltd./Adr",midea group co ltdadr
5955db72-5207-4c70-8a7d-4361949795b6,"Midea Group Co., Ltd./Adr",midea group co ltdadr
2a4a5945-aa23-4e10-aeef-99414e191a99,"Digital Realty Trust, Inc.",digital realty trust inc
2450719c-ae52-45e5-8748-69a8681f6fcb,"Digital Realty Trust, Inc.",digital realty trust inc
24f35207-07d2-4ccf-99d7-f5ad95cb99c4,Metlife Inc,metlife inc
7fb31df6-633e-4d5b-8ced-a5c24adf56b5,Metlife Inc,metlife inc
5f2022f9-c2f0-470f-bdfa-8de337ec00e5,Metlife Inc,metlife inc
#Done Till 22
31a91a71-b35c-4d21-aeb8-22a9749b85ad,Microchip Technology Inc,microchip technology inc
62a18442-d11f-417f-8c7a-8df7786170b4,Microchip Technology Inc,microchip technology inc
56bb2cbe-21ba-4761-bf5b-e06327fe20b7,Li Auto Inc.,li auto inc
75eef95d-e9cf-4b69-b881-55e902839d21,Li Auto Inc.,li auto inc
18878fd9-4f6e-4b59-97cf-e858075a6c68,Dte Energy Co,dte energy co
f30f6139-6285-4fd6-afd2-b172427bb7b5,Dte Energy Co,dte energy co
53fe9e84-2ed7-4522-8d58-2d6baa94a2af,Dte Energy Co,dte energy co
282df3fa-368b-41c5-9ce3-049f3c88aaea,Vodafone Group Public Ltd Co,vodafone group public ltd co
b521d7a6-a193-40e5-ae55-ee95423a3293,Vodafone Group Public Ltd Co,vodafone group public ltd co
a66d2ee0-50b2-438e-a680-37eef5bcecc9,Nidec Corp,nidec corp
63e0b133-0fc8-4d9e-bdff-b9f27cab80ec,Nidec Corp,nidec corp
04cb60fc-5e5d-434c-88ff-b163c27236fa,Brookfield Renewable Partners L.P.,brookfield renewable partners lp
ad647bd8-cdc4-47fc-9071-61d11c5b6098,Brookfield Renewable Partners L.P.,brookfield renewable partners lp
b26f9c7b-889e-473d-9db5-db5488e6a6f7,Nippon Sanso Holdings Corporation/Adr,nippon sanso holdings corporationadr
f362a0a1-2c31-4f97-a1a1-256e20f92203,Nippon Sanso Holdings Corporation/Adr,nippon sanso holdings corporationadr
8588908c-f43c-48f8-9d26-66641d0b9778,James Hardie Industries Plc,james hardie industries plc
253fd2bf-ec6c-4420-b0f3-f640174c3043,James Hardie Industries Plc,james hardie industries plc
6f6e6c20-ef31-4b30-b4c4-00ab68227dd1,Zto Express (Cayman) Inc.,zto express cayman inc
21d80405-617d-4973-8681-d2bf6905c9f6,Zto Express (Cayman) Inc.,zto express cayman inc
748381e1-ebf6-4f6d-aebe-a8bfd1a82659,American Homes 4 Rent,american homes 4 rent
85e51b51-69ad-43f2-a5e2-09f55d738262,American Homes 4 Rent,american homes 4 rent
